ni_m3,ni_e18,ra_mm,I_beamlet_ag_A,I_beamlet_sm_A,I_beamlet_in_A,I_del_A,grid_loss_frac,leakage_frac,peak_to_avg,rms_nonuniform,edge_peaking,lost_to_tube,has_sample,y_rms_sm_mm,y_absmax_sm_mm,I_del_clean
3e+18,3.0,2.5,0.016003489788,0.012004730852,0.012004730852,5.630218769588,,0.07250163292,1.967605634,0.3632355864,0.8389621087,False,True,19.03280603,31.73350202,5.630218769588
3e+18,3.0,3.0,0.022533725208,0.0145233572,0.0145233572,6.8114545267999995,,0.08512269939,1.916177703,0.3463474008,1.653374233,False,True,19.74126262,31.739353689999998,6.8114545267999995
3e+18,3.0,3.5,0.033139820376,0.0131730786,0.0131730786,6.1781738634000005,,0.06028368794,1.916981132,0.412896794,0.9047330097,True,True,17.88266711,31.730525779999997,
3e+18,3.0,4.0,0.04328466336,0.017811638968,0.017811638968,8.353658675992,,0.07631874299,1.851761847,0.3901216109,0.7688787185,True,True,17.84504611,31.743389249999996,
3.5e+18,3.5,1.0,0.0031561733692,0.0031151431151999996,0.0031151431151999996,1.4610021210287998,,0.00754147813,2.637791287,0.7159078206,0.08517699115,False,True,13.67938617,31.355596049999996,1.4610021210287998
3.5e+18,3.5,1.5,0.0070871873,0.006955811584,0.006955811584,3.2622756328960003,,0.009605662285,2.009698826,0.4101371991,0.3071192053,False,True,17.42183554,31.632677079999997,3.2622756328960003
3.5e+18,3.5,2.0,0.011999771148,0.009960883152,0.009960883152,4.6716541982879995,,0.05734767025,2.253485425,0.3455407092,1.008733624,False,True,18.77229449,31.74134395,4.6716541982879995
3.5e+18,3.5,2.5,0.018118407748000002,0.012733186936,0.012733186936,5.971864672984,,0.05903790087,1.869093726,0.3748007363,1.155783582,False,True,19.31193806,31.680528719999998,5.971864672984
3.5e+18,3.5,3.0,0.025437179267999998,0.015509435936,0.015509435936,7.273925453984,,0.06346483705,2.442307692,0.4408120916,1.826612903,False,True,20.03751172,31.71571306,7.273925453984
3.5e+18,3.5,3.5,0.038663123772,0.015252602328,0.015252602328,7.153470491832,,0.05054151625,1.931558935,0.4123016601,0.9158476658,True,True,17.93308548,31.671248,
3.5e+18,3.5,4.0,0.05049877392,0.020527751591999998,0.020527751591999998,9.627515496648,,0.07718501703,1.718327183,0.3867640631,0.7170138889,True,True,17.85140684,31.71861358,
4e+18,4.0,1.0,0.0036070552788,0.0035601635603999997,0.0035601635603999997,1.6697167098275998,,0.007042253521,2.766464032,0.679998305,0.0943627451,False,True,14.39753958,31.406131130000002,1.6697167098275998
4e+18,4.0,1.5,0.007856166396000001,0.007401677432,0.007401677432,3.471386715608,,0.0151187905,2.088815789,0.3381426772,0.6483050847,False,True,18.108398689999998,31.67839609,3.471386715608
4e+18,4.0,2.0,0.013281177536,0.010323392208,0.010323392208,4.841670945552,,0.06470588235,2.573724668,0.3731302836,0.9806763285,False,True,18.868834420000002,31.72600307,4.841670945552
4e+18,4.0,2.5,0.020041700892,0.013255928148,0.013255928148,6.217030301412,,0.07474429583,2.051870748,0.3704517319,1.11163522,False,True,19.3400977,31.733657159999996,6.217030301412
4e+18,4.0,3.0,0.028389328572,0.016361602744,0.016361602744,7.673591686936,,0.07182320442,2.89781746,0.4705561178,1.61637931,False,True,20.16765692,31.68172608,7.673591686936
4e+18,4.0,3.5,0.04418642716,0.017343172663999998,0.017343172663999998,8.133947979415998,,0.04617253949,1.941401274,0.4284801952,0.9509925558,True,True,18.03724873,31.7200548,
4e+18,4.0,4.0,0.05771288448,0.023114010228,0.023114010228,10.840470796932001,,0.07931034483,1.744069913,0.3709104994,0.7340047393,True,True,17.80848762,31.63708602,
