# apertures (x>=0 half) from screen_pos.stl [aligned, manifold-clean], SI metres
# x y z nx ny nz r_ap
6.17179296e-05 -8.59311828e-02 2.92381820e-02  -3.51178889e-04 4.88953817e-01 8.72309602e-01  2.51278751e-03
-1.28496253e-05 -7.87760870e-02 2.54415262e-02  7.31151735e-05 4.48240873e-01 8.93912811e-01  2.50674869e-03
1.37697181e-05 -7.14500000e-02 2.19769768e-02  -7.83505592e-05 4.06554979e-01 9.13626315e-01  2.57935171e-03
-2.30944084e-06 -6.39727273e-02 1.88541319e-02  1.31408632e-05 3.64008829e-01 9.31395497e-01  2.59118110e-03
7.24184203e-05 -5.63116505e-02 1.60631139e-02  -4.12065351e-04 3.20416821e-01 9.47276565e-01  2.63722991e-03
-1.07593243e-05 -4.85557692e-02 1.36379952e-02  6.12212297e-05 2.76285371e-01 9.61075642e-01  2.64758144e-03
4.69329834e-05 -4.06212963e-02 1.15562321e-02  -2.67051618e-04 2.31137722e-01 9.72921005e-01  2.69644407e-03
2.64784379e-05 -3.26136364e-02 9.84986352e-03  -1.50663972e-04 1.85573635e-01 9.82630349e-01  2.72119892e-03
5.13972691e-05 -2.45169643e-02 8.51573989e-03  -2.92453683e-04 1.39503064e-01 9.90221596e-01  2.74364722e-03
5.13972691e-05 -1.63830357e-02 7.56252560e-03  -2.92453683e-04 9.32205003e-02 9.95645445e-01  2.74364722e-03
8.80351819e-07 -8.20000000e-03 6.98863858e-03  -5.00925704e-06 4.66585141e-02 9.98910898e-01  2.77055984e-03
7.84547225e-05 4.34782609e-05 6.79725733e-03  -4.46412289e-04 -2.47394030e-04 9.99999870e-01  2.77859398e-03
3.69772312e-05 8.18495575e-03 6.98794041e-03  -2.10402764e-04 -4.65729113e-02 9.98914871e-01  2.75638431e-03
3.69772312e-05 1.64150442e-02 7.56552181e-03  -2.10402764e-04 -9.34026308e-02 9.95628397e-01  2.75638431e-03
4.24686977e-05 2.45098214e-02 8.51473134e-03  -2.41649552e-04 -1.39462420e-01 9.90227335e-01  2.74384363e-03
1.73875289e-05 3.26363636e-02 9.85415605e-03  -9.89361292e-05 -1.85702955e-01 9.82605924e-01  2.71929276e-03
2.28504146e-05 4.06623853e-02 1.15659940e-02  -1.30020291e-04 -2.31371522e-01 9.72865459e-01  2.70757587e-03
-2.14632430e-05 4.85500000e-02 1.36363379e-02  1.22127198e-04 -2.76252544e-01 9.61085073e-01  2.67043966e-03
9.50099065e-05 5.63000000e-02 1.60591849e-02  -5.40612324e-04 -3.20350529e-01 9.47298921e-01  2.64456991e-03
2.39737997e-05 6.40142857e-02 1.88703817e-02  -1.36412423e-04 -3.64245299e-01 9.31303035e-01  2.57661285e-03
9.56184938e-06 7.14907216e-02 2.19951034e-02  -5.44075224e-05 -4.06786688e-01 9.13523173e-01  2.56534859e-03
